k1,b,P@10,R@10,F1@10,MAP,MRR,NDCG@10
0.500000,0.000000,0.202667,0.351641,0.231835,0.268346,0.504034,0.314552
0.500000,0.750000,0.221333,0.383941,0.253900,0.291492,0.511289,0.338030
0.500000,1.000000,0.222222,0.385807,0.255145,0.294046,0.513711,0.341587
1.200000,0.000000,0.208444,0.363444,0.238543,0.277097,0.520625,0.324783
1.200000,0.750000,0.234222,0.397597,0.266243,0.304827,0.539081,0.354598
1.200000,1.000000,0.235556,0.403564,0.268187,0.306029,0.542417,0.358949
2.000000,0.000000,0.210222,0.362870,0.239776,0.281272,0.530514,0.327874
2.000000,0.750000,0.240889,0.404147,0.272463,0.311548,0.544334,0.362646
2.000000,1.000000,0.236000,0.398834,0.267122,0.308256,0.539772,0.355706
