model,query_id,P@10,R@10,F1@10,AP,RR,NDCG@10,num_relevant
VSM,220,0.000000,0.000000,0.000000,0.082024,0.055556,0.000000,19.000000
VSM,221,0.200000,0.111111,0.142857,0.109032,0.250000,0.099083,18.000000
VSM,222,0.500000,0.555556,0.526316,0.632830,1.000000,0.569344,9.000000
VSM,223,0.200000,0.500000,0.285714,0.191071,0.250000,0.291279,4.000000
VSM,224,0.000000,0.000000,0.000000,0.079815,0.066667,0.000000,8.000000
VSM,225,0.200000,0.083333,0.117647,0.100727,1.000000,0.157982,24.000000
BM25,1,0.300000,0.107143,0.157895,0.226308,1.000000,0.266644,28.000000
BM25,2,0.500000,0.208333,0.294118,0.236277,1.000000,0.691931,24.000000
BM25,3,0.700000,0.875000,0.777778,0.655937,0.500000,0.740380,8.000000
BM25,4,0.100000,0.500000,0.166667,0.278571,0.500000,0.386853,2.000000
BM25,5,0.300000,0.750000,0.428571,0.327564,0.333333,0.463968,4.000000
BM25,6,0.100000,0.250000,0.142857,0.170884,0.500000,0.161987,4.000000
BM25,7,0.200000,0.400000,0.266667,0.156595,0.250000,0.203169,5.000000
BM25,8,0.100000,0.090909,0.095238,0.161005,1.000000,0.306046,11.000000
BM25,9,0.300000,1.000000,0.461538,0.805556,1.000000,0.906025,3.000000
BM25,10,0.100000,0.125000,0.111111,0.162080,0.500000,0.102958,8.000000
BM25,11,0.200000,0.285714,0.235294,0.186378,0.250000,0.181623,7.000000
BM25,12,0.200000,0.400000,0.266667,0.251722,0.500000,0.262219,5.000000
BM25,13,0.000000,0.000000,0.000000,0.007837,0.004808,0.000000,4.000000
BM25,14,0.200000,1.000000,0.333333,0.611111,1.000000,0.978894,2.000000
BM25,15,0.200000,1.000000,0.333333,1.000000,1.000000,0.737826,2.000000
BM25,16,0.100000,0.333333,0.153846,0.200654,0.500000,0.182125,3.000000
BM25,17,0.100000,0.500000,0.166667,0.078675,0.142857,0.262385,2.000000
BM25,18,0.100000,0.333333,0.153846,0.355899,1.000000,0.469279,3.000000
BM25,19,0.100000,0.111111,0.105263,0.055134,0.333333,0.174527,9.000000
BM25,20,0.600000,0.666667,0.631579,0.575377,0.500000,0.596676,9.000000
BM25,21,0.000000,0.000000,0.000000,0.049819,0.062500,0.000000,4.000000
BM25,22,0.000000,0.000000,0.000000,0.001647,0.001647,0.000000,1.000000
BM25,23,0.400000,0.125000,0.190476,0.216850,0.500000,0.306552,32.000000
BM25,24,0.200000,0.666667,0.307692,0.361111,0.500000,0.575329,3.000000
BM25,25,0.600000,0.666667,0.631579,0.703735,1.000000,0.690076,9.000000
BM25,26,0.200000,0.333333,0.250000,0.233164,0.500000,0.468875,6.000000
BM25,27,0.200000,0.666667,0.307692,0.147811,0.166667,0.305580,3.000000
BM25,28,0.000000,0.000000,0.000000,0.004870,0.003891,0.000000,2.000000
BM25,29,0.400000,0.444444,0.421053,0.440656,1.000000,0.413084,9.000000
BM25,30,0.100000,0.142857,0.117647,0.074265,0.200000,0.144263,7.000000
BM25,31,0.000000,0.000000,0.000000,0.000926,0.000926,0.000000,1.000000
BM25,32,0.200000,0.333333,0.250000,0.130538,0.333333,0.071360,6.000000
BM25,33,0.300000,1.000000,0.461538,0.638889,0.500000,0.683286,3.000000
BM25,34,0.200000,0.333333,0.250000,0.258598,0.333333,0.114082,6.000000
BM25,35,0.000000,0.000000,0.000000,0.025488,0.033333,0.000000,3.000000
BM25,36,0.100000,0.500000,0.166667,0.502571,1.000000,0.337352,2.000000
BM25,37,0.000000,0.000000,0.000000,0.085231,0.090909,0.000000,9.000000
BM25,38,0.000000,0.000000,0.000000,0.049499,0.071429,0.000000,10.000000
BM25,39,0.200000,0.153846,0.173913,0.133780,0.500000,0.257688,13.000000
BM25,40,0.200000,0.166667,0.181818,0.111848,0.333333,0.094404,12.000000
BM25,41,0.300000,1.000000,0.461538,0.791667,1.000000,0.863558,3.000000
BM25,42,0.300000,0.600000,0.400000,0.180336,0.166667,0.367790,5.000000
BM25,43,0.400000,0.666667,0.500000,0.570481,1.000000,0.863023,6.000000
BM25,44,0.000000,0.000000,0.000000,0.002488,0.001355,0.000000,3.000000
BM25,45,0.100000,0.083333,0.090909,0.200376,1.000000,0.347319,12.000000
BM25,46,0.600000,0.400000,0.480000,0.375794,1.000000,0.635566,15.000000
BM25,47,0.600000,0.428571,0.500000,0.382607,0.250000,0.380494,14.000000
BM25,48,0.300000,0.272727,0.285714,0.198075,0.500000,0.388889,11.000000
BM25,49,0.100000,0.500000,0.166667,0.100000,0.142857,0.275412,2.000000
BM25,50,0.100000,0.166667,0.125000,0.074068,0.333333,0.267375,6.000000
BM25,51,0.600000,0.600000,0.600000,0.541071,1.000000,0.449638,10.000000
BM25,52,0.400000,1.000000,0.571429,0.590278,0.500000,0.602904,4.000000
BM25,53,0.300000,0.300000,0.300000,0.268162,1.000000,0.277785,10.000000
BM25,54,0.100000,0.111111,0.105263,0.141287,0.500000,0.284377,9.000000
BM25,55,0.400000,0.400000,0.400000,0.312388,0.500000,0.289532,10.000000
BM25,56,0.200000,0.200000,0.200000,0.160972,0.500000,0.150168,10.000000
BM25,57,0.100000,0.071429,0.083333,0.083724,0.333333,0.256096,14.000000
BM25,58,0.100000,0.111111,0.105263,0.143386,0.111111,0.157517,9.000000
BM25,59,0.200000,0.500000,0.285714,0.371994,1.000000,0.356065,4.000000
BM25,60,0.300000,0.600000,0.400000,0.460342,1.000000,0.409554,5.000000
BM25,61,0.400000,0.800000,0.533333,0.555141,1.000000,0.711931,5.000000
BM25,62,0.000000,0.000000,0.000000,0.030686,0.076923,0.000000,5.000000
BM25,63,0.000000,0.000000,0.000000,0.050575,0.050000,0.000000,3.000000
BM25,64,0.100000,0.500000,0.166667,0.533333,1.000000,0.772538,2.000000
BM25,65,0.500000,0.333333,0.400000,0.226549,0.500000,0.383877,15.000000
BM25,66,0.100000,0.200000,0.133333,0.124364,0.333333,0.227730,5.000000
BM25,67,0.600000,0.428571,0.500000,0.493106,1.000000,0.584035,14.000000
BM25,68,0.100000,0.200000,0.133333,0.063280,0.200000,0.210813,5.000000
BM25,69,0.000000,0.000000,0.000000,0.038683,0.071429,0.000000,5.000000
BM25,70,0.100000,0.100000,0.100000,0.085286,0.200000,0.086519,10.000000
BM25,71,0.100000,0.125000,0.111111,0.051543,0.142857,0.129791,8.000000
BM25,72,0.200000,0.117647,0.148148,0.134256,1.000000,0.349636,17.000000
BM25,73,0.700000,0.350000,0.466667,0.366002,1.000000,0.701075,20.000000
BM25,74,0.100000,0.166667,0.125000,0.137267,0.111111,0.149551,6.000000
BM25,75,0.000000,0.000000,0.000000,0.028645,0.066667,0.000000,5.000000
BM25,76,0.200000,0.285714,0.235294,0.196733,0.500000,0.309260,7.000000
BM25,77,0.200000,0.333333,0.250000,0.348309,1.000000,0.173848,6.000000
BM25,78,0.300000,1.000000,0.461538,0.722222,1.000000,0.728257,3.000000
BM25,79,0.000000,0.000000,0.000000,0.052226,0.055556,0.000000,5.000000
BM25,80,0.000000,0.000000,0.000000,0.016219,0.026316,0.000000,4.000000
BM25,81,0.200000,1.000000,0.333333,0.750000,1.000000,0.477268,2.000000
BM25,82,0.300000,0.600000,0.400000,0.355161,1.000000,0.503050,5.000000
BM25,83,0.100000,0.250000,0.142857,0.106186,0.250000,0.168128,4.000000
BM25,84,0.300000,0.272727,0.285714,0.386956,1.000000,0.217713,11.000000
BM25,85,0.100000,0.250000,0.142857,0.262365,1.000000,0.135083,4.000000
BM25,86,0.200000,1.000000,0.333333,0.583333,0.500000,0.693426,2.000000
BM25,87,0.000000,0.000000,0.000000,0.011221,0.014706,0.000000,8.000000
BM25,88,0.600000,1.000000,0.750000,0.649603,0.500000,0.659825,6.000000
BM25,89,0.100000,0.166667,0.125000,0.178132,0.333333,0.248399,6.000000
BM25,90,0.300000,0.230769,0.260870,0.222505,0.500000,0.160789,13.000000
BM25,91,0.400000,0.444444,0.421053,0.362023,1.000000,0.588837,9.000000
BM25,92,0.600000,0.461538,0.521739,0.539937,1.000000,0.243369,13.000000
BM25,93,0.100000,1.000000,0.181818,0.500000,0.500000,0.630930,1.000000
BM25,94,0.600000,0.500000,0.545455,0.565274,1.000000,0.316847,12.000000
BM25,95,0.200000,1.000000,0.333333,0.392857,0.500000,0.360243,2.000000
BM25,96,0.600000,0.461538,0.521739,0.422931,0.500000,0.430768,13.000000
BM25,97,0.300000,0.300000,0.300000,0.204553,0.500000,0.256695,10.000000
BM25,98,0.000000,0.000000,0.000000,0.024645,0.045455,0.000000,5.000000
BM25,99,0.200000,0.500000,0.285714,0.237739,0.333333,0.436918,4.000000
BM25,100,0.300000,0.333333,0.315789,0.228829,0.500000,0.383296,9.000000
BM25,101,0.500000,0.833333,0.625000,0.745833,1.000000,0.820330,6.000000
BM25,102,0.200000,0.500000,0.285714,0.367438,1.000000,0.374757,4.000000
BM25,103,0.000000,0.000000,0.000000,0.028797,0.055556,0.000000,2.000000
BM25,104,0.100000,0.200000,0.133333,0.139964,0.333333,0.169580,5.000000
BM25,105,0.300000,0.600000,0.400000,0.448289,0.500000,0.570575,5.000000
BM25,106,0.300000,0.600000,0.400000,0.447427,1.000000,0.752046,5.000000
BM25,107,0.300000,0.428571,0.352941,0.287386,0.500000,0.331944,7.000000
BM25,108,0.500000,0.714286,0.588235,0.751391,1.000000,0.701823,7.000000
BM25,109,0.000000,0.000000,0.000000,0.037685,0.025641,0.000000,5.000000
BM25,110,0.100000,0.250000,0.142857,0.152579,0.500000,0.358556,4.000000
BM25,111,0.200000,0.285714,0.235294,0.260203,0.333333,0.125858,7.000000
BM25,112,0.100000,0.500000,0.166667,0.312500,0.500000,0.173765,2.000000
BM25,113,0.100000,0.250000,0.142857,0.148706,0.333333,0.195190,4.000000
BM25,114,0.100000,0.250000,0.142857,0.053835,0.142857,0.225139,4.000000
BM25,115,0.100000,0.250000,0.142857,0.057143,0.200000,0.202887,4.000000
BM25,116,0.100000,0.200000,0.133333,0.062038,0.250000,0.064371,5.000000
BM25,117,0.000000,0.000000,0.000000,0.036667,0.033333,0.000000,2.000000
BM25,118,0.200000,0.666667,0.307692,0.225595,0.250000,0.401749,3.000000
BM25,119,0.100000,1.000000,0.181818,1.000000,1.000000,1.000000,1.000000
BM25,120,0.400000,0.444444,0.421053,0.414418,0.500000,0.441284,9.000000
BM25,121,0.400000,0.571429,0.470588,0.502984,0.500000,0.477179,7.000000
BM25,122,0.400000,0.444444,0.421053,0.294554,0.333333,0.177992,9.000000
BM25,123,0.000000,0.000000,0.000000,0.092157,0.066667,0.000000,2.000000
