query_id,num_relevant,AP_b0,AP_b1,top10_overlap,top10_changed,delta_AP,abs_delta_AP
137,4,0.190093,0.206151,8,2,0.016058,0.016058
138,2,0.274390,0.102679,7,3,-0.171712,0.171712
139,4,0.008317,0.009547,7,3,0.001230,0.001230
140,6,0.114322,0.174333,8,2,0.060011,0.060011
141,6,0.112676,0.143521,6,4,0.030845,0.030845
142,1,0.055556,0.100000,5,5,0.044444,0.044444
143,2,0.600000,0.666667,5,5,0.066667,0.066667
144,6,0.281630,0.384834,5,5,0.103204,0.103204
145,7,0.140840,0.299117,6,4,0.158277,0.158277
146,2,0.333333,0.833333,9,1,0.500000,0.500000
147,10,0.299067,0.228827,5,5,-0.070240,0.070240
148,6,0.120274,0.294574,7,3,0.174300,0.174300
149,11,0.284309,0.388128,9,1,0.103819,0.103819
150,2,1.000000,0.833333,6,4,-0.166667,0.166667
151,5,0.023516,0.028582,5,5,0.005066,0.005066
152,6,0.015803,0.028171,3,7,0.012368,0.012368
153,7,0.317664,0.343785,6,4,0.026121,0.026121
154,2,0.750000,0.666667,6,4,-0.083333,0.083333
155,6,0.148363,0.273151,7,3,0.124788,0.124788
156,14,0.551006,0.478706,8,2,-0.072299,0.072299
157,39,0.275160,0.350862,4,6,0.075702,0.075702
158,8,0.274053,0.385503,5,5,0.111449,0.111449
159,8,0.064185,0.087375,8,2,0.023190,0.023190
160,5,0.218677,0.119778,7,3,-0.098899,0.098899
161,6,0.443993,0.533748,3,7,0.089755,0.089755
162,8,0.164384,0.216480,5,5,0.052096,0.052096
163,3,0.173280,0.264853,8,2,0.091572,0.091572
164,8,0.555665,0.414893,6,4,-0.140772,0.140772
165,2,0.375000,0.583333,5,5,0.208333,0.208333
166,8,0.039144,0.037623,7,3,-0.001521,0.001521
167,2,1.000000,0.500000,6,4,-0.500000,0.500000
168,2,0.060753,0.128788,8,2,0.068035,0.068035
169,4,0.221392,0.276706,7,3,0.055313,0.055313
170,6,0.413779,0.578020,7,3,0.164241,0.164241
171,3,0.500000,0.638889,7,3,0.138889,0.138889
172,4,0.608333,0.804167,8,2,0.195833,0.195833
173,2,1.000000,1.000000,7,3,0.000000,0.000000
174,5,0.040360,0.091185,6,4,0.050825,0.050825
175,5,0.040436,0.059654,7,3,0.019219,0.019219
176,7,0.040894,0.085010,5,5,0.044116,0.044116
177,5,0.624650,0.690909,9,1,0.066259,0.066259
178,4,0.638095,0.483824,5,5,-0.154272,0.154272
179,4,0.424528,0.334777,7,3,-0.089751,0.089751
180,7,0.396799,0.470378,7,3,0.073579,0.073579
181,5,0.247915,0.269319,6,4,0.021404,0.021404
182,2,0.833333,0.583333,8,2,-0.250000,0.250000
183,13,0.618994,0.634735,9,1,0.015740,0.015740
184,7,0.258639,0.341019,5,5,0.082381,0.082381
185,9,0.793874,0.808796,9,1,0.014923,0.014923
186,16,0.142334,0.173117,7,3,0.030783,0.030783
187,6,0.157863,0.156263,6,4,-0.001601,0.001601
188,11,0.320652,0.443372,8,2,0.122721,0.122721
189,9,0.123681,0.121904,7,3,-0.001777,0.001777
190,5,0.322096,0.442232,7,3,0.120136,0.120136
191,13,0.314206,0.356306,7,3,0.042100,0.042100
192,4,0.705357,0.514881,7,3,-0.190476,0.190476
193,9,0.785678,0.819478,7,3,0.033800,0.033800
194,6,0.220889,0.188394,7,3,-0.032496,0.032496
195,3,0.360526,0.098889,7,3,-0.261637,0.261637
196,12,0.058984,0.148757,3,7,0.089774,0.089774
197,3,0.611111,0.622222,8,2,0.011111,0.011111
198,4,0.383541,0.586842,6,4,0.203301,0.203301
199,8,0.098222,0.114999,6,4,0.016777,0.016777
200,3,0.276398,0.233822,5,5,-0.042576,0.042576
