config,model,query_id,P@10,R@10,F1@10,AP,RR,NDCG@10,num_relevant
stop_stem,BM25,59,0.200000,0.500000,0.285714,0.371994,1.000000,0.356065,4.000000
stop_stem,BM25,60,0.300000,0.600000,0.400000,0.460342,1.000000,0.409554,5.000000
stop_stem,BM25,61,0.400000,0.800000,0.533333,0.555141,1.000000,0.711931,5.000000
stop_stem,BM25,62,0.000000,0.000000,0.000000,0.030686,0.076923,0.000000,5.000000
stop_stem,BM25,63,0.000000,0.000000,0.000000,0.050575,0.050000,0.000000,3.000000
stop_stem,BM25,64,0.100000,0.500000,0.166667,0.533333,1.000000,0.772538,2.000000
stop_stem,BM25,65,0.500000,0.333333,0.400000,0.226549,0.500000,0.383877,15.000000
stop_stem,BM25,66,0.100000,0.200000,0.133333,0.124364,0.333333,0.227730,5.000000
stop_stem,BM25,67,0.600000,0.428571,0.500000,0.493106,1.000000,0.584035,14.000000
stop_stem,BM25,68,0.100000,0.200000,0.133333,0.063280,0.200000,0.210813,5.000000
stop_stem,BM25,69,0.000000,0.000000,0.000000,0.038683,0.071429,0.000000,5.000000
stop_stem,BM25,70,0.100000,0.100000,0.100000,0.085286,0.200000,0.086519,10.000000
stop_stem,BM25,71,0.100000,0.125000,0.111111,0.051543,0.142857,0.129791,8.000000
stop_stem,BM25,72,0.200000,0.117647,0.148148,0.134256,1.000000,0.349636,17.000000
stop_stem,BM25,73,0.700000,0.350000,0.466667,0.366002,1.000000,0.701075,20.000000
stop_stem,BM25,74,0.100000,0.166667,0.125000,0.137267,0.111111,0.149551,6.000000
stop_stem,BM25,75,0.000000,0.000000,0.000000,0.028645,0.066667,0.000000,5.000000
stop_stem,BM25,76,0.200000,0.285714,0.235294,0.196733,0.500000,0.309260,7.000000
stop_stem,BM25,77,0.200000,0.333333,0.250000,0.348309,1.000000,0.173848,6.000000
stop_stem,BM25,78,0.300000,1.000000,0.461538,0.722222,1.000000,0.728257,3.000000
stop_stem,BM25,79,0.000000,0.000000,0.000000,0.052226,0.055556,0.000000,5.000000
stop_stem,BM25,80,0.000000,0.000000,0.000000,0.016219,0.026316,0.000000,4.000000
stop_stem,BM25,81,0.200000,1.000000,0.333333,0.750000,1.000000,0.477268,2.000000
stop_stem,BM25,82,0.300000,0.600000,0.400000,0.355161,1.000000,0.503050,5.000000
stop_stem,BM25,83,0.100000,0.250000,0.142857,0.106186,0.250000,0.168128,4.000000
stop_stem,BM25,84,0.300000,0.272727,0.285714,0.386956,1.000000,0.217713,11.000000
stop_stem,BM25,85,0.100000,0.250000,0.142857,0.262365,1.000000,0.135083,4.000000
stop_stem,BM25,86,0.200000,1.000000,0.333333,0.583333,0.500000,0.693426,2.000000
stop_stem,BM25,87,0.000000,0.000000,0.000000,0.011221,0.014706,0.000000,8.000000
stop_stem,BM25,88,0.600000,1.000000,0.750000,0.649603,0.500000,0.659825,6.000000
stop_stem,BM25,89,0.100000,0.166667,0.125000,0.178132,0.333333,0.248399,6.000000
stop_stem,BM25,90,0.300000,0.230769,0.260870,0.222505,0.500000,0.160789,13.000000
stop_stem,BM25,91,0.400000,0.444444,0.421053,0.362023,1.000000,0.588837,9.000000
stop_stem,BM25,92,0.600000,0.461538,0.521739,0.539937,1.000000,0.243369,13.000000
stop_stem,BM25,93,0.100000,1.000000,0.181818,0.500000,0.500000,0.630930,1.000000
stop_stem,BM25,94,0.600000,0.500000,0.545455,0.565274,1.000000,0.316847,12.000000
stop_stem,BM25,95,0.200000,1.000000,0.333333,0.392857,0.500000,0.360243,2.000000
stop_stem,BM25,96,0.600000,0.461538,0.521739,0.422931,0.500000,0.430768,13.000000
stop_stem,BM25,97,0.300000,0.300000,0.300000,0.204553,0.500000,0.256695,10.000000
stop_stem,BM25,98,0.000000,0.000000,0.000000,0.024645,0.045455,0.000000,5.000000
stop_stem,BM25,99,0.200000,0.500000,0.285714,0.237739,0.333333,0.436918,4.000000
stop_stem,BM25,100,0.300000,0.333333,0.315789,0.228829,0.500000,0.383296,9.000000
stop_stem,BM25,101,0.500000,0.833333,0.625000,0.745833,1.000000,0.820330,6.000000
stop_stem,BM25,102,0.200000,0.500000,0.285714,0.367438,1.000000,0.374757,4.000000
stop_stem,BM25,103,0.000000,0.000000,0.000000,0.028797,0.055556,0.000000,2.000000
stop_stem,BM25,104,0.100000,0.200000,0.133333,0.139964,0.333333,0.169580,5.000000
stop_stem,BM25,105,0.300000,0.600000,0.400000,0.448289,0.500000,0.570575,5.000000
stop_stem,BM25,106,0.300000,0.600000,0.400000,0.447427,1.000000,0.752046,5.000000
stop_stem,BM25,107,0.300000,0.428571,0.352941,0.287386,0.500000,0.331944,7.000000
stop_stem,BM25,108,0.500000,0.714286,0.588235,0.751391,1.000000,0.701823,7.000000
stop_stem,BM25,109,0.000000,0.000000,0.000000,0.037685,0.025641,0.000000,5.000000
stop_stem,BM25,110,0.100000,0.250000,0.142857,0.152579,0.500000,0.358556,4.000000
stop_stem,BM25,111,0.200000,0.285714,0.235294,0.260203,0.333333,0.125858,7.000000
stop_stem,BM25,112,0.100000,0.500000,0.166667,0.312500,0.500000,0.173765,2.000000
stop_stem,BM25,113,0.100000,0.250000,0.142857,0.148706,0.333333,0.195190,4.000000
stop_stem,BM25,114,0.100000,0.250000,0.142857,0.053835,0.142857,0.225139,4.000000
stop_stem,BM25,115,0.100000,0.250000,0.142857,0.057143,0.200000,0.202887,4.000000
stop_stem,BM25,116,0.100000,0.200000,0.133333,0.062038,0.250000,0.064371,5.000000
stop_stem,BM25,117,0.000000,0.000000,0.000000,0.036667,0.033333,0.000000,2.000000
stop_stem,BM25,118,0.200000,0.666667,0.307692,0.225595,0.250000,0.401749,3.000000
stop_stem,BM25,119,0.100000,1.000000,0.181818,1.000000,1.000000,1.000000,1.000000
stop_stem,BM25,120,0.400000,0.444444,0.421053,0.414418,0.500000,0.441284,9.000000
stop_stem,BM25,121,0.400000,0.571429,0.470588,0.502984,0.500000,0.477179,7.000000
stop_stem,BM25,122,0.400000,0.444444,0.421053,0.294554,0.333333,0.177992,9.000000
stop_stem,BM25,123,0.000000,0.000000,0.000000,0.092157,0.066667,0.000000,2.000000
stop_stem,BM25,124,0.000000,0.000000,0.000000,0.004299,0.006711,0.000000,4.000000
stop_stem,BM25,125,0.300000,0.176471,0.222222,0.263782,1.000000,0.409450,17.000000
stop_stem,BM25,126,0.200000,0.250000,0.222222,0.221938,1.000000,0.571145,8.000000
stop_stem,BM25,127,0.100000,0.200000,0.133333,0.106730,0.250000,0.094075,5.000000
stop_stem,BM25,128,0.000000,0.000000,0.000000,0.017064,0.026316,0.000000,2.000000
stop_stem,BM25,129,0.400000,0.571429,0.470588,0.398711,0.500000,0.547269,7.000000
stop_stem,BM25,130,0.400000,0.800000,0.533333,0.503663,1.000000,0.625108,5.000000
stop_stem,BM25,131,0.300000,0.375000,0.333333,0.318660,0.200000,0.125968,8.000000
stop_stem,BM25,132,0.700000,0.466667,0.560000,0.681328,1.000000,0.321632,15.000000
stop_stem,BM25,133,0.200000,0.285714,0.235294,0.258627,0.125000,0.270485,7.000000
stop_stem,BM25,134,0.100000,0.500000,0.166667,0.270000,0.500000,0.212845,2.000000
stop_stem,BM25,135,0.400000,0.500000,0.444444,0.622917,1.000000,0.130956,8.000000
stop_stem,BM25,136,0.100000,0.333333,0.153846,0.402778,1.000000,0.929891,3.000000
stop_stem,BM25,137,0.200000,0.500000,0.285714,0.194345,0.333333,0.213953,4.000000
stop_stem,BM25,138,0.100000,0.500000,0.166667,0.128571,0.200000,0.237198,2.000000
stop_stem,BM25,139,0.000000,0.000000,0.000000,0.008989,0.010309,0.000000,4.000000
stop_stem,BM25,140,0.200000,0.333333,0.250000,0.171085,0.500000,0.466779,6.000000
stop_stem,BM25,141,0.200000,0.333333,0.250000,0.138613,0.200000,0.224042,6.000000
stop_stem,BM25,142,0.000000,0.000000,0.000000,0.083333,0.083333,0.000000,1.000000
stop_stem,BM25,143,0.200000,1.000000,0.333333,0.666667,1.000000,0.831555,2.000000
stop_stem,BM25,144,0.400000,0.666667,0.500000,0.378932,0.333333,0.447888,6.000000
stop_stem,BM25,145,0.400000,0.571429,0.470588,0.256052,0.333333,0.439605,7.000000
stop_stem,BM25,146,0.200000,1.000000,0.333333,0.583333,0.500000,0.556024,2.000000
stop_stem,BM25,147,0.400000,0.400000,0.400000,0.270217,0.500000,0.430990,10.000000
stop_stem,BM25,148,0.200000,0.333333,0.250000,0.210468,0.500000,0.403046,6.000000
stop_stem,BM25,149,0.400000,0.363636,0.380952,0.380580,1.000000,0.465823,11.000000
stop_stem,BM25,150,0.200000,1.000000,0.333333,0.833333,1.000000,0.919721,2.000000
stop_stem,BM25,151,0.000000,0.000000,0.000000,0.029639,0.038462,0.000000,5.000000
stop_stem,BM25,152,0.000000,0.000000,0.000000,0.022119,0.047619,0.000000,6.000000
stop_stem,BM25,153,0.300000,0.428571,0.352941,0.333500,0.500000,0.292380,7.000000
stop_stem,BM25,154,0.200000,1.000000,0.333333,0.750000,1.000000,0.676361,2.000000
stop_stem,BM25,155,0.200000,0.333333,0.250000,0.172765,0.500000,0.093829,6.000000
stop_stem,BM25,156,0.700000,0.500000,0.583333,0.498233,1.000000,0.333226,14.000000
stop_stem,BM25,157,0.400000,0.102564,0.163265,0.331402,1.000000,0.402940,39.000000
stop_stem,BM25,158,0.300000,0.375000,0.333333,0.392334,1.000000,0.759835,8.000000
stop_stem,BM25,159,0.200000,0.250000,0.222222,0.073960,0.125000,0.118096,8.000000
stop_stem,BM25,160,0.100000,0.200000,0.133333,0.119716,0.500000,0.262511,5.000000
stop_stem,BM25,161,0.300000,0.500000,0.375000,0.531132,1.000000,0.797006,6.000000
stop_stem,BM25,162,0.200000,0.250000,0.222222,0.223919,0.500000,0.122379,8.000000
stop_stem,BM25,163,0.200000,0.666667,0.307692,0.242630,0.333333,0.401800,3.000000
stop_stem,BM25,164,0.400000,0.500000,0.444444,0.447632,1.000000,0.657976,8.000000
stop_stem,BM25,165,0.200000,1.000000,0.333333,0.583333,0.500000,0.693426,2.000000
stop_stem,BM25,166,0.100000,0.125000,0.111111,0.040064,0.111111,0.076143,8.000000
stop_stem,BM25,167,0.200000,1.000000,0.333333,0.750000,1.000000,0.932444,2.000000
stop_stem,BM25,168,0.100000,0.500000,0.166667,0.100840,0.142857,0.204382,2.000000
stop_stem,BM25,169,0.200000,0.500000,0.285714,0.291532,0.500000,0.414430,4.000000
stop_stem,BM25,170,0.400000,0.666667,0.500000,0.622828,1.000000,0.771291,6.000000
stop_stem,BM25,171,0.300000,1.000000,0.461538,0.638889,0.500000,0.657913,3.000000
stop_stem,BM25,172,0.400000,1.000000,0.571429,0.679167,0.500000,0.681856,4.000000
stop_stem,BM25,173,0.200000,1.000000,0.333333,1.000000,1.000000,1.000000,2.000000
stop_stem,BM25,174,0.100000,0.200000,0.133333,0.069189,0.166667,0.151082,5.000000
stop_stem,BM25,175,0.100000,0.200000,0.133333,0.054853,0.100000,0.116497,5.000000
stop_stem,BM25,176,0.100000,0.142857,0.117647,0.077150,0.142857,0.121991,7.000000
stop_stem,BM25,177,0.400000,0.800000,0.533333,0.672222,1.000000,0.868480,5.000000
stop_stem,BM25,178,0.200000,0.500000,0.285714,0.467262,1.000000,0.901543,4.000000
stop_stem,BM25,179,0.200000,0.500000,0.285714,0.339052,0.500000,0.441492,4.000000
stop_stem,BM25,180,0.300000,0.428571,0.352941,0.454569,0.500000,0.357459,7.000000
stop_stem,BM25,181,0.100000,0.200000,0.133333,0.259968,1.000000,0.172721,5.000000
stop_stem,BM25,182,0.200000,1.000000,0.333333,0.583333,0.500000,0.649031,2.000000
stop_stem,BM25,183,0.600000,0.461538,0.521739,0.613855,1.000000,0.576212,13.000000
stop_stem,BM25,184,0.300000,0.428571,0.352941,0.328068,1.000000,0.417643,7.000000
stop_stem,BM25,185,0.600000,0.666667,0.631579,0.824710,1.000000,0.819510,9.000000
stop_stem,BM25,186,0.400000,0.250000,0.307692,0.159857,0.333333,0.328062,16.000000
stop_stem,BM25,187,0.200000,0.333333,0.250000,0.194823,0.500000,0.247745,6.000000
stop_stem,BM25,188,0.500000,0.454545,0.476190,0.392900,1.000000,0.569342,11.000000
stop_stem,BM25,189,0.200000,0.222222,0.210526,0.125607,0.250000,0.110806,9.000000
stop_stem,BM25,190,0.200000,0.400000,0.266667,0.382814,1.000000,0.289408,5.000000
stop_stem,BM25,191,0.200000,0.153846,0.173913,0.363148,0.200000,0.057943,13.000000
stop_stem,BM25,192,0.300000,0.750000,0.428571,0.510417,0.500000,0.609620,4.000000
stop_stem,BM25,193,0.800000,0.888889,0.842105,0.831723,1.000000,0.852844,9.000000
stop_stem,BM25,194,0.100000,0.166667,0.125000,0.189754,0.250000,0.066435,6.000000
stop_stem,BM25,195,0.100000,0.333333,0.153846,0.103177,0.200000,0.181542,3.000000
stop_stem,BM25,196,0.300000,0.250000,0.272727,0.135249,0.500000,0.255401,12.000000
stop_stem,BM25,197,0.200000,0.666667,0.307692,0.614379,1.000000,0.625434,3.000000
stop_stem,BM25,198,0.300000,0.750000,0.428571,0.472222,1.000000,0.676257,4.000000
stop_stem,BM25,199,0.200000,0.250000,0.222222,0.108948,0.200000,0.116189,8.000000
stop_stem,BM25,200,0.200000,0.666667,0.307692,0.230409,0.333333,0.370291,3.000000
stop_stem,BM25,201,0.400000,0.250000,0.307692,0.331264,1.000000,0.601408,16.000000
stop_stem,BM25,202,0.300000,0.214286,0.250000,0.204144,0.500000,0.187876,14.000000
stop_stem,BM25,203,0.200000,0.142857,0.166667,0.140783,0.500000,0.269453,14.000000
stop_stem,BM25,204,0.000000,0.000000,0.000000,0.044248,0.062500,0.000000,14.000000
stop_stem,BM25,205,0.200000,1.000000,0.333333,0.700000,1.000000,0.850345,2.000000
stop_stem,BM25,206,0.200000,0.666667,0.307692,0.264093,0.500000,0.522575,3.000000
stop_stem,BM25,207,0.200000,0.400000,0.266667,0.197589,0.500000,0.364471,5.000000
stop_stem,BM25,208,0.600000,1.000000,0.750000,0.682937,0.500000,0.756145,6.000000
stop_stem,BM25,209,0.200000,0.166667,0.181818,0.141371,0.333333,0.098185,12.000000
stop_stem,BM25,210,0.200000,0.333333,0.250000,0.342266,1.000000,0.492365,6.000000
stop_stem,BM25,211,0.100000,0.090909,0.095238,0.136094,0.111111,0.124215,11.000000
stop_stem,BM25,212,0.600000,0.428571,0.500000,0.497536,1.000000,0.600365,14.000000
stop_stem,BM25,213,0.500000,0.454545,0.476190,0.581716,1.000000,0.551647,11.000000
stop_stem,BM25,214,0.100000,0.250000,0.142857,0.157475,0.500000,0.246302,4.000000
stop_stem,BM25,215,0.000000,0.000000,0.000000,0.048199,0.062500,0.000000,2.000000
stop_stem,BM25,216,0.000000,0.000000,0.000000,0.002604,0.002604,0.000000,1.000000
stop_stem,BM25,217,0.400000,0.266667,0.320000,0.304292,1.000000,0.401180,15.000000
stop_stem,BM25,218,0.300000,0.200000,0.240000,0.328299,1.000000,0.343452,15.000000
stop_stem,BM25,219,0.000000,0.000000,0.000000,0.037425,0.025641,0.000000,18.000000
stop_stem,BM25,220,0.300000,0.157895,0.206897,0.203047,1.000000,0.183698,19.000000
stop_stem,BM25,221,0.300000,0.166667,0.214286,0.237413,1.000000,0.273235,18.000000
stop_stem,BM25,222,0.600000,0.666667,0.631579,0.778951,1.000000,0.765397,9.000000
stop_stem,BM25,223,0.300000,0.750000,0.428571,0.461275,0.500000,0.592512,4.000000
stop_stem,BM25,224,0.100000,0.125000,0.111111,0.134549,0.166667,0.095162,8.000000
stop_stem,BM25,225,0.300000,0.125000,0.176471,0.087623,0.500000,0.131936,24.000000
