idf_variant,P@10,R@10,F1@10,MAP,MRR,NDCG@10
robertson,0.234222,0.397597,0.266243,0.304827,0.539081,0.354598
bim,0.234222,0.397597,0.266243,0.304821,0.539081,0.354598
