config,model,P@10,R@10,F1@10,MAP,MRR,NDCG@10
none,VSM,0.195556,0.330948,0.222533,0.243285,0.452545,0.289003
none,BM25,0.216444,0.364098,0.245356,0.269364,0.498205,0.323076
stop,VSM,0.200889,0.337832,0.228003,0.249761,0.464872,0.297115
stop,BM25,0.225778,0.382403,0.256807,0.282627,0.507974,0.337452
stem,VSM,0.210667,0.366307,0.241392,0.262136,0.462546,0.313235
stem,BM25,0.226222,0.386293,0.257521,0.294925,0.525065,0.350159
stop_stem,VSM,0.216889,0.378490,0.248811,0.276282,0.486771,0.326346
stop_stem,BM25,0.234222,0.397597,0.266243,0.304827,0.539081,0.354598
